CVEGEO,ECO1_R,ECO4_R,ECO7_R,ECO10_R,ECO13_R,ECO16_R,ECO19_R,ECO22_R
1900100010036031,47.6,100.0,0.0,-6.0,0.0,-6.0,-6.0,30.0
1900100010036032,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036033,51.2,100.0,-6.0,40.9,-6.0,31.8,13.6,-6.0
1900100010036035,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036039,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900100010036040,50.0,90.9,0.0,-6.0,0.0,70.0,0.0,-6.0
1900100010036041,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010036042,46.9,100.0,-6.0,33.3,20.0,20.0,20.0,0.0
1900100010036043,54.5,100.0,0.0,50.0,-6.0,-6.0,0.0,-6.0
1900100010040001,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900100010040002,52.0,100.0,-6.0,30.8,0.0,53.8,-6.0,0.0
1900100010055001,70.0,100.0,0.0,-6.0,-6.0,-6.0,-6.0,0.0
1900200010207001,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207002,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207003,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207004,66.7,100.0,0.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010207005,33.3,100.0,0.0,57.1,0.0,42.9,0.0,0.0
1900200010207006,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207007,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207009,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207010,42.9,100.0,0.0,-6.0,-6.0,0.0,0.0,0.0
1900200010207011,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207012,58.8,90.0,-6.0,-6.0,0.0,-6.0,33.3,-6.0
1900200010207013,60.9,78.6,-6.0,36.4,36.4,-6.0,-6.0,0.0
1900200010207014,38.5,80.0,-6.0,-6.0,0.0,0.0,0.0,-6.0
1900200010207015,33.3,75.0,0.0,-6.0,-6.0,-6.0,0.0,0.0
1900200010207016,-6.0,-6.0,0.0,-6.0,0.0,0.0,-6.0,0.0
1900200010207017,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207018,75.0,77.8,-6.0,-6.0,0.0,-6.0,-6.0,-6.0
1900200010207019,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207020,36.4,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0
1900200010207021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207022,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207023,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207024,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207025,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207026,42.9,88.9,0.0,37.5,0.0,0.0,62.5,0.0
1900200010207027,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207028,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207029,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207030,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207031,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207032,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207033,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207034,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207035,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207036,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207037,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207038,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207039,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207040,60.0,66.7,0.0,-6.0,-6.0,0.0,0.0,0.0
1900200010207041,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010207043,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207044,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207045,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010207046,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010211001,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0
1900200010211002,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010211003,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211004,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211005,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211006,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211007,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211009,35.7,100.0,0.0,-6.0,0.0,-6.0,-6.0,-6.0
1900200010211010,41.7,80.0,0.0,-6.0,0.0,-6.0,0.0,0.0
1900200010211012,31.6,100.0,0.0,-6.0,0.0,-6.0,-6.0,-6.0
1900200010211013,46.2,100.0,0.0,-6.0,0.0,83.3,0.0,0.0
1900200010211014,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211015,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211016,35.0,100.0,0.0,-6.0,0.0,-6.0,-6.0,-6.0
1900200010211017,50.0,71.4,0.0,-6.0,-6.0,-6.0,0.0,0.0
1900200010211018,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
1900200010211019,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0
1900200010211021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211022,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211023,42.9,100.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010211024,50.0,83.3,-6.0,-6.0,0.0,-6.0,0.0,0.0
1900200010211025,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,-6.0
1900200010211026,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,-6.0
1900200010211027,60.0,100.0,0.0,0.0,0.0,-6.0,-6.0,0.0
1900200010211028,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226001,43.8,100.0,-6.0,0.0,-6.0,57.1,-6.0,0.0
1900200010226002,46.2,100.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010226003,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226004,50.0,100.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010226005,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226006,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226007,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226009,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226010,66.7,100.0,0.0,0.0,0.0,0.0,-6.0,75.0
1900200010226011,28.6,100.0,0.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010226012,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226013,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
